timestamp,cmd_torque,cmd_torque_clamped,target_position,position,velocity,estimated_torque,valid
26.454004,-0.858739,-0.858739,0.000000,-4.386168,-7.339824,-0.477309,1
26.455003,-0.724760,-0.724760,0.000000,-4.393839,-7.584216,-0.465377,1
26.456004,-0.576862,-0.576862,0.000000,-4.401125,-7.615101,-0.426984,1
26.457008,-0.418610,-0.418610,0.000000,-4.408795,-7.538560,-0.326334,1
26.458023,-0.253352,-0.253352,0.000000,-4.416465,-7.581530,-0.210639,1
26.459024,-0.089228,-0.089228,0.000000,-4.424136,-7.619129,-0.224647,1
26.460015,0.070293,0.070293,0.000000,-4.431806,-7.683584,-0.239174,1
26.461015,0.224521,0.224521,0.000000,-4.439476,-7.506333,-0.273415,1
26.462011,0.368295,0.368295,0.000000,-4.447146,-7.715812,-0.310770,1
26.463009,0.499884,0.499884,0.000000,-4.454816,-7.621815,-0.343974,1
26.464015,0.618110,0.618110,0.000000,-4.462103,-7.625843,-0.316477,1
26.465007,0.719461,0.719461,0.000000,-4.470156,-7.774895,-0.026978,1
26.466004,0.805928,0.805928,0.000000,-4.477443,-7.557360,-0.005707,1
26.467004,0.877676,0.877676,0.000000,-4.484730,-7.468734,-0.006745,1
26.468004,0.935741,0.935741,0.000000,-4.492400,-7.506333,-0.097537,1
26.469005,0.982136,0.982136,0.000000,-4.500070,-7.556017,-0.144230,1
26.470004,1.019247,1.019247,0.000000,-4.507357,-7.538560,-0.090274,1
26.471003,1.050142,1.050142,0.000000,-4.514643,-7.267312,-0.108432,1
26.472004,1.077979,1.077979,0.000000,-4.521930,-7.275369,0.010895,1
26.473004,1.106035,1.106035,0.000000,-4.529216,-7.288797,0.099612,1
26.474011,1.137743,1.137743,0.000000,-4.536503,-7.390851,0.167577,1
26.475008,1.175463,1.175463,0.000000,-4.543790,-7.253883,0.107395,1
26.476008,1.222235,1.222235,0.000000,-4.551076,-7.102145,0.015564,1
26.477009,1.279896,1.279896,0.000000,-4.557980,-7.118259,-0.016602,1
26.478008,1.349694,1.349694,0.000000,-4.564883,-6.942351,-0.020753,1
26.479008,1.432409,1.432409,0.000000,-4.571786,-6.936979,-0.014008,1
26.480008,1.527638,1.527638,0.000000,-4.578689,-6.828211,0.102206,1
26.481009,1.634668,1.634668,0.000000,-4.585592,-6.798669,0.197150,1
26.482008,1.751297,1.751297,0.000000,-4.592112,-6.722129,0.240211,1
26.483008,1.875458,1.875458,0.000000,-4.598631,-6.629475,0.197668,1
26.484013,2.004434,2.004434,0.000000,-4.605151,-6.575762,0.199744,1
26.485006,2.132622,2.132622,0.000000,-4.611670,-6.417310,0.139561,1
26.486004,2.258126,2.258126,0.000000,-4.618190,-6.332713,0.098575,1
26.487004,2.376518,2.376518,0.000000,-4.623943,-6.223945,0.143193,1
26.488010,2.483955,2.483955,0.000000,-4.630079,-6.105777,0.187811,1
26.489009,2.575098,2.575098,0.000000,-4.636215,-6.015809,0.197150,1
26.490007,2.647047,2.647047,0.000000,-4.641968,-5.806330,0.425947,1
26.491007,2.696826,2.696826,0.000000,-4.647337,-5.740532,0.451888,1
26.492005,2.721839,2.721839,0.000000,-4.653089,-5.437056,0.463301,1
26.493004,2.720464,2.720464,0.000000,-4.658075,-5.235633,0.476272,1
26.494014,2.691390,2.691390,0.000000,-4.663444,-5.206091,0.447218,1
26.495008,2.635549,2.635549,0.000000,-4.668046,-4.944243,0.347606,1
26.496008,2.553226,2.553226,0.000000,-4.673032,-4.839503,0.371990,1
26.497009,2.446308,2.446308,0.000000,-4.677634,-4.589740,0.334635,1
26.498008,2.317841,2.317841,0.000000,-4.682236,-4.553484,0.335154,1
26.499009,2.170806,2.170806,0.000000,-4.686838,-4.442030,0.279641,1
26.500008,2.009769,2.009769,0.000000,-4.690673,-4.141240,0.366283,1
26.501024,1.835845,1.835845,0.000000,-4.694508,-4.103641,0.397412,1
26.502008,1.662735,1.662735,0.000000,-4.698727,-3.861934,0.463820,1
26.503007,1.486634,1.486634,0.000000,-4.702178,-3.758538,0.420759,1
26.504006,1.315313,1.315313,0.000000,-4.706013,-3.609485,0.382366,1
26.505005,1.153237,1.153237,0.000000,-4.709465,-3.579943,0.335154,1
26.506011,1.003370,1.003370,0.000000,-4.712533,-3.434919,0.253700,1
26.507009,0.871608,0.871608,0.000000,-4.715984,-3.326151,0.277566,1
26.508010,0.759192,0.759192,0.000000,-4.719052,-3.045503,0.209082,1
26.509010,0.668481,0.668481,0.000000,-4.722120,-3.178442,0.124516,1
26.510006,0.600844,0.600844,0.000000,-4.725189,-3.054903,0.042024,1
26.511005,0.555976,0.555976,0.000000,-4.727873,-2.892422,-0.000519,1
26.512009,0.533406,0.533406,0.000000,-4.730941,-3.001190,-0.031648,1
