timestamp,cmd_torque,target_position,position,velocity,estimated_torque,valid
14.923012,3.111328,0.000000,3.851943,-3.786737,0.413495,1
14.924010,3.231232,0.000000,3.848492,-3.649770,0.525559,1
14.925009,3.343857,0.000000,3.845424,-3.336894,0.555651,1
14.926006,3.443060,0.000000,3.842356,-3.109958,0.664602,1
14.927013,3.523766,0.000000,3.839288,-3.011933,0.648518,1
14.928004,3.578559,0.000000,3.836603,-2.664144,0.637104,1
14.929005,3.604289,0.000000,3.833918,-2.653401,0.646962,1
14.930004,3.596413,0.000000,3.831617,-2.493606,0.777703,1
14.931004,3.552161,0.000000,3.829316,-2.186102,0.925565,1
14.932004,3.470016,0.000000,3.827782,-1.734916,1.071352,1
14.933004,3.349981,0.000000,3.826248,-1.478439,1.114414,1
14.934005,3.193280,0.000000,3.825098,-1.329386,1.158513,1
14.935004,3.003059,0.000000,3.824331,-0.703635,1.171484,1
14.936004,2.783150,0.000000,3.823947,-0.523698,1.154363,1
14.937010,2.537835,0.000000,3.823947,-0.076540,1.091586,1
14.938009,2.276360,0.000000,3.824331,0.310190,1.039186,1
14.939012,2.003183,0.000000,3.825098,0.703635,0.883023,1
14.940009,1.729350,0.000000,3.825481,0.696921,0.791192,1
14.941010,1.459468,0.000000,3.826632,0.910428,0.684835,1
14.942009,1.203543,0.000000,3.827399,0.866115,0.613239,1
14.943012,0.967424,0.000000,3.828933,1.145421,0.569658,1
14.944014,0.759128,0.000000,3.830083,1.361614,0.501175,1
14.945004,0.586364,0.000000,3.832001,1.479781,0.457595,1
14.946004,0.449912,0.000000,3.832768,1.389813,0.424390,1
14.947004,0.354936,0.000000,3.834685,1.572436,0.394818,1
14.948004,0.303412,0.000000,3.835836,1.532151,0.349162,1
14.949005,0.295678,0.000000,3.837370,1.623463,0.348643,1
14.950004,0.330564,0.000000,3.838904,1.537523,0.313364,1
14.951008,0.405767,0.000000,3.840438,1.513352,0.287423,1
14.952004,0.516208,0.000000,3.842356,1.577807,0.298837,1
14.953004,0.657724,0.000000,3.843506,1.432783,0.323740,1
14.954013,0.825468,0.000000,3.845040,1.628834,0.318033,1
